Hospital Address,Hospital City,Hospital State,Won/Lost/Exisiting,Hospital Type,Total Births,Exclusive BF%,Exclusive FF%,Exclusive Supplement,Net Preterm
"SUMMIT MEDICAL CENTER, 1800 RENAISSANCE BOULEVARD, EDMOND, OK, 73013",EDMOND,OK,Existing,UNKNOWN,0,,,,0
"SUMMIT PACIFIC MEDICAL CENTER, 600 EAST MAIN STREET, ELMA, WA, 98541",ELMA,WA,Existing,UNKNOWN,0,,,,0
"SWEDISH AMERICAN MED CTR-BELVIDERE, 1625 S STATE ST, BELVIDERE, IL, 61008",BELVIDERE,IL,Existing,UNKNOWN,0,,,,0
"SWEDISH HEALTH CHERRY HILL, 500 17TH AVENUE, SEATTLE, WA, 98122",SEATTLE,WA,Existing,UNKNOWN,0,,,,0
"SYRACUSE AREA HEALTH, 2731 HEALTHCARE DRIVE, SYRACUSE, NE, 68446",SYRACUSE,NE,Existing,UNKNOWN,0,,,,0
"TAMPA COMMUNITY HOSPITAL, 6001 WEBB ROAD, TAMPA, FL, 33615",TAMPA,FL,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"TAMPA GENERAL HOSP CRYSTAL RIVER, 6201 NORTH SUNCOAST BLVD, CRYSTAL RIVER, FL, 34428",CRYSTAL RIVER,FL,Lost,UNKNOWN,0,0.0%,0.0%,100.0%,0
"TEHACHAPI HOSPITAL, 115 WEST E ST, TEHACHAPI, CA, 93561",TEHACHAPI,CA,Existing,UNKNOWN,0,,,,0
"TENNOVA HEALTHCARE  CLARKSVILLE, 651 DUNLOP LANE, CLARKSVILLE, TN, 37040",CLARKSVILLE,TN,Lost,UNKNOWN,2535,45.0%,25.0%,30.0%,233
"TEXAS CHILDRENS HOSPITAL MEYER, 1919 SOUTH BRAESWOOD BLVD, HOUSTON, TX, 77030",HOUSTON,TX,Existing,UNKNOWN,0,,,,0
"TEXAS CHILDRENS NORTH AUSTIN, 9835 N LAKE CREEK PKWY, AUSTIN, TX, 78717",AUSTIN,TX,Existing,UNKNOWN,0,,,,0
"TEXAS HEALTH KAUFMAN, 850 ED HALL DRIVE, KAUFMAN, TX, 75142",KAUFMAN,TX,Existing,UNKNOWN,0,,,,0
"TEXAS NEUROREHAB CENTER, 1106 WEST DITTMAR ROAD, AUSTIN, TX, 78745",AUSTIN,TX,Existing,UNKNOWN,0,,,,0
"TEXAS RURAL HOSPITAL, 300 EAST CROCKETT STREET, CLEVELAND, TX, 77327",CLEVELAND,TX,Existing,UNKNOWN,0,,,,0
"TEXAS VISTA MEDICAL CENTER, 7400 BARLITE BOULEVARD, SAN ANTONIO, TX, 78224",SAN ANTONIO,TX,Lost,UNKNOWN,1910,45.0%,20.0%,35.0%,164
"THE MEMORIAL HOSPITAL, 750 HOSPITAL LOOP ROAD, CRAIG, CO, 81625",CRAIG,CO,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"THE ORTHOPEDIC SPECIALTY HOSPITAL, 5848 SOUTH FASHION BOULEVARD, MURRAY, UT, 84107",MURRAY,UT,Existing,UNKNOWN,0,,,,0
"THE VILLAGES REGIONAL HOSPITAL, 1451 EL CAMINO REAL, THE VILLAGES, FL, 32159",THE VILLAGES,FL,Existing,UNKNOWN,0,,,,0
"THEDACARE MEDICAL CTR NEW LONDON, 1405 MILL STREET, NEW LONDON, WI, 54961",NEW LONDON,WI,Existing,UNKNOWN,0,,,,0
"THOP NORTHEAST CAMPUS, 11274 MCCOMBS STREET, EL PASO, TX, 79934",EL PASO,TX,Existing,UNKNOWN,0,,,,0
"TIDELANDS GEORGETOWN MEMORIAL HOSP, 606 BLACK RIVER ROAD, GEORGETOWN, SC, 29440",GEORGETOWN,SC,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"TIRR MEMORIAL HERMANN REHAB HOSP, 1333 MOURSUND STREET, HOUSTON, TX, 77030",HOUSTON,TX,Existing,UNKNOWN,0,,,,0
"TITUSVILLE AREA HOSPITAL, 406 WEST OAK STREET, TITUSVILLE, PA, 16354",TITUSVILLE,PA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"TMC RINCON HOSPITAL, 5755 S HOUGHTON RD, TUCSON, AZ, 85747",TUCSON,AZ,Existing,UNKNOWN,0,,,,0
"TOBEY HOSPITAL, 43 HIGH STREET, WAREHAM, MA, 02571",WAREHAM,MA,Existing,UNKNOWN,0,,,,0
"TOUCHETTE REGIONAL HOSP, 5900 BOND, CENTREVILLE, IL, 62207",CENTREVILLE,IL,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"TREASURE VALLEY HOSPITAL, 8800 WEST EMERALD STREET, BOISE, ID, 83704",BOISE,ID,Existing,UNKNOWN,0,,,,0
"TRINITY MEDICAL CENTER EAST, 380 SUMMIT AVENUE, STEUBENVILLE, OH, 43952",STEUBENVILLE,OH,Existing,UNKNOWN,0,,,,0
"TRUSTPOINT HOSPITAL, 4302 PRINCETON STREET, LUBBOCK, TX, 79415",LUBBOCK,TX,Existing,UNKNOWN,0,,,,0
"TUG VALLEY ARH REGIONAL MEDICAL CTR, 260 HOSPITAL DRIVE, SOUTH WILLIAMSON, KY, 41503",SOUTH WILLIAMSON,KY,Existing,UNKNOWN,0,0.0%,,,0
"TULANE UNIVERSITY HOSPITAL & CLINIC, 1415 TULANE AVENUE, NEW ORLEANS, LA, 70112",NEW ORLEANS,LA,Existing,UNKNOWN,0,0.0%,,,0
"TURKEY CREEK MEDICAL CENTER, 10820 PARKSIDE DRIVE, KNOXVILLE, TN, 37934",KNOXVILLE,TN,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"TWELVE CLANS UNITY HOSPITAL, 225 BLUFF ST, WINNEBAGO, NE, 68071",WINNEBAGO,NE,Existing,UNKNOWN,0,80.0%,20.0%,0.0%,0
"TYLER COUNTY HOSPITAL, 1100 WEST BLUFF STREET, WOODVILLE, TX, 75979",WOODVILLE,TX,Existing,UNKNOWN,0,,,,0
"U OF L HEALTH SHELBYVILLE, 727 HOSPITAL DRIVE, SHELBYVILLE, KY, 40065",SHELBYVILLE,KY,Existing,UNKNOWN,0,,,,0
"U OF MO COLUMBIA HOSP/CL, 1 HOSPITAL DRIVE, COLUMBIA, MO, 65201",COLUMBIA,MO,Existing,UNKNOWN,0,,,,0
"U OF OREGON HEALTH SERVICES, 1590 E 13TH AVE, EUGENE, OR, 97403",EUGENE,OR,Existing,UNKNOWN,0,,,,0
"U S AIR FORCE MEDICAL CTR, 4881 SUGAR MAPLE DR, DAYTON, OH, 45433",DAYTON,OH,Existing,UNKNOWN,0,,,,0
"UAB HOSPITAL HIGHLANDS, 1201 11TH AVENUE SOUTH, BIRMINGHAM, AL, 35205",BIRMINGHAM,AL,Existing,UNKNOWN,0,,,,0
"UCHEALTH BROOMFIELD HOSPITAL, 11820 DESTINATION DRIVE, BROOMFIELD, CO, 80021",BROOMFIELD,CO,Existing,UNKNOWN,0,,,,0
"UCHEALTH GRANDVIEW HOSPITAL, 5623 PULPIT PEAK VIEW, COLORADO SPRINGS, CO, 80918",COLORADO SPRINGS,CO,Existing,UNKNOWN,0,,,,0
"UCHEALTH PIKES PEAK REGIONAL HOS, 16420 WEST HIGHWAY 24, WOODLAND PARK, CO, 80863",WOODLAND PARK,CO,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"UCI HEALTH LAKEWOOD, 3700 SOUTH STREET, LAKEWOOD, CA, 90712",LAKEWOOD,CA,Existing,UNKNOWN,0,,,,0
"UCI HEALTH LOS ALAMITOS, 3751 KATELLA AVENUE, LOS ALAMITOS, CA, 90720",LOS ALAMITOS,CA,Existing,UNKNOWN,0,,,,0
"UCLA HEALTH WHS, 16001 STRATHERN STREET, VAN NUYS, CA, 91406",VAN NUYS,CA,Existing,UNKNOWN,0,,,,0
"UCLA WEST VALLEY MEDICAL CENTER, 7300 MEDICAL CENTER DRIVE, WEST HILLS, CA, 91307",WEST HILLS,CA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"UCSD EAST CAMPUS, 6655 ALVARADO ROAD, SAN DIEGO, CA, 92120",SAN DIEGO,CA,Existing,UNKNOWN,0,,,,0
"UF HEALTH SHANDS CANCER HOSPITAL, 1515 SW ARCHER ROAD, GAINESVILLE, FL, 32608",GAINESVILLE,FL,Existing,UNKNOWN,0,,,,0
"UH AHUJA MEDICAL CENTER, 3999 RICHMOND ROAD, BEACHWOOD, OH, 44122",BEACHWOOD,OH,Existing,UNKNOWN,0,,,,0
"UH CONNEAUT MEDICAL CENTER, 158 WEST MAIN ROAD, CONNEAUT, OH, 44030",CONNEAUT,OH,Existing,UNKNOWN,0,,,,0
"UH GENEVA MEDICAL CENTER, 870 WEST MAIN STREET, GENEVA, OH, 44041",GENEVA,OH,Existing,UNKNOWN,0,,,,0
"UH PARMA MEDICAL CENTER, 7007 POWERS BLVD, PARMA, OH, 44129",PARMA,OH,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"UH RICHMOND HEIGHTS MEDICAL CENTER, 27100 CHARDON ROAD, RICHMOND HEIGHTS, OH, 44143",RICHMOND HEIGHTS,OH,Existing,UNKNOWN,0,,,,0
"UH SAMARITAN MEDICAL CENTER, 1025 CENTER STREET, ASHLAND, OH, 44805",ASHLAND,OH,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"UHS BINGHAMTON GENERAL HOSPITAL, 10 42 MITCHELL AVENUE, BINGHAMTON, NY, 13903",BINGHAMTON,NY,Existing,UNKNOWN,0,,,,0
"UM HARFORD MEMORIAL HOSPITAL, 501 SOUTH UNION AVENUE, HAVRE DE GRACE, MD, 21078",HAVRE DE GRACE,MD,Existing,UNKNOWN,0,,,,0
"UM LAUREL REGIONAL HOSPITAL, 7300 VAN DUSEN ROAD, LAUREL, MD, 20707",LAUREL,MD,Existing,UNKNOWN,0,0.0%,,,0
"UM SHORE MED CENTER AT CHESTERTOWN, 100 BROWN STREET, CHESTERTOWN, MD, 21620",CHESTERTOWN,MD,Existing,UNKNOWN,0,,,,0
"UM SHORE MED CENTER AT DORCHESTER, 300 BYRN STREET, CAMBRIDGE, MD, 21613",CAMBRIDGE,MD,Existing,UNKNOWN,0,,,,0
"UM UPPER CHESAPEAKE MEDICAL CTR, 660 MCHENRY RD, ABERDEEN, MD, 21001",ABERDEEN,MD,Existing,UNKNOWN,0,,,,0
"UMASS MEMORIAL MARLBOROUGH HOSP, 157 UNION STREET, MARLBOROUGH, MA, 01752",MARLBOROUGH,MA,Existing,UNKNOWN,0,,,,0
"UNC REX CANCER CARE OF RALEIGH, 2901 BLUE RIDGE ROAD, RALEIGH, NC, 27607",RALEIGH,NC,Existing,UNKNOWN,0,,,,0
"UNION GENERAL HOSPITAL, 901 JAMES AVE, FARMERVILLE, LA, 71241",FARMERVILLE,LA,Existing,UNKNOWN,0,,,,0
"UNION MEMORIAL HOSPITAL, 201 EAST UNIVERSITY PARKWAY, BALTIMORE, MD, 21218",BALTIMORE,MD,Existing,UNKNOWN,0,0.0%,,,0
"UNIONTOWN HOSPITAL, 500 WEST BERKELEY STREET, UNIONTOWN, PA, 15401",UNIONTOWN,PA,Existing,UNKNOWN,0,45.0%,50.0%,5.0%,0
"UNITED MEDICAL CENTER, 1310 SOUTHERN AVENUE SE, WASHINGTON, DC, 20032",WASHINGTON,DC,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"UNITED MEMORIAL MEDICAL CENTER, 1211 HIGHWAY 6, SUGAR LAND, TX, 77478",SUGAR LAND,TX,Existing,UNKNOWN,0,,,,0
"UNITED MEMORIAL MEDICAL CENTER, 510 WEST TIDWELL ROAD, HOUSTON, TX, 77091",HOUSTON,TX,Existing,UNKNOWN,0,,,,0
"UNITY MEDICAL CENTER, 481 INTERSTATE DR, MANCHESTER, TN, 37355",MANCHESTER,TN,Existing,UNKNOWN,0,,,,0
"UNITYPOINT HEALTH TRINITY MUSCATINE, 1518 MULBERRY, MUSCATINE, IA, 52761",MUSCATINE,IA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"UNIV OF KANSAS INDIAN CREEK, 10710 NALL AVENUE, OVERLAND PARK, KS, 66211",OVERLAND PARK,KS,Existing,UNKNOWN,0,,,,0
"UNIV OF MARYLAND MED CTR MIDTOWN, 827 LINDEN AVENUE, BALTIMORE, MD, 21201",BALTIMORE,MD,Existing,UNKNOWN,0,0.0%,,,0
"UNIVERSITY HOSPITALS & CLINICS, 239 BOWLING GREEN ROAD, LEXINGTON, MS, 39095",LEXINGTON,MS,Existing,UNKNOWN,0,0.0%,100.0%,0.0%,0
"UNIVERSITY MED CTR-BRACKENRIDGE, 601 EAST 15TH STREET, AUSTIN, TX, 78701",AUSTIN,TX,Existing,UNKNOWN,0,0.0%,,,0
"UNIVERSITY MEDICAL CENTER, 4815 ALAMEDA AVE, EL PASO, TX, 79905",EL PASO,TX,Lost,UNKNOWN,2079,42.0%,10.0%,48.0%,219
"UNIVERSITY OF MICHIGAN HLTH WEST, 5900 BYRON CENTER AVENUE SW, WYOMING, MI, 49519",WYOMING,MI,Lost,UNKNOWN,1672,40.0%,15.0%,45.0%,80
"UPMC BEDFORD MEMORIAL, 10455 LINCOLN HIGHWAY, EVERETT, PA, 15537",EVERETT,PA,Existing,UNKNOWN,0,,,,0
"UPMC EAST, 2775 MOSSIDE BLVD, MONROEVILLE, PA, 15146",MONROEVILLE,PA,Existing,UNKNOWN,0,,,,0
"UPMC KANE, 4372 ROUTE 6, KANE, PA, 16735",KANE,PA,Existing,UNKNOWN,0,,,,0
"UPMC MCKEESPORT, 1500 5TH AVE, MCKEESPORT, PA, 15132",MCKEESPORT,PA,Existing,UNKNOWN,0,,,,0
"UPMC MERCY, 1400 LOCUST STREET, PITTSBURGH, PA, 15219",PITTSBURGH,PA,Existing,UNKNOWN,0,30.0%,60.0%,10.0%,0
"UPMC MUNCY, 215 EAST WATER STREET, MUNCY, PA, 17756",MUNCY,PA,Existing,UNKNOWN,0,,,,0
"UPMC PINNACLE WEST SHORE, 1995 TECHNOLOGY PKWY, MECHANICSBURG, PA, 17050",MECHANICSBURG,PA,Existing,UNKNOWN,0,,,,0
"UPMC PRESBYTERIAN, 200 LOTHROP ST, PITTSBURGH, PA, 15213",PITTSBURGH,PA,Existing,UNKNOWN,0,,,,0
"USAMMA WAEGWAN KOREA DOD W9P4EE, 4551 EAST PHILADELPHIA STREET, ONTARIO, CA, 91761",ONTARIO,CA,Existing,UNKNOWN,0,,,,0
"USMD HOSPITAL AT ARLINGTON, 801 WEST INTERSTATE 20, ARLINGTON, TX, 76017",ARLINGTON,TX,Existing,UNKNOWN,0,,,,0
"USMD HOSPITAL AT FORT WORTH, 5900 ALTAMESA BLVD, FORT WORTH, TX, 76132",FORT WORTH,TX,Existing,UNKNOWN,0,,,,0
"USNS-MERCY SHIP, 2680 WODEN STREET, SAN DIEGO, CA, 92136",SAN DIEGO,CA,Existing,UNKNOWN,0,,,,0
"UT HEALTH CARTHAGE, 409 COTTAGE ROAD, CARTHAGE, TX, 75633",CARTHAGE,TX,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"UT HEALTH NORTH CAMPUS TYLER, 11937 US HIGHWAY 271, TYLER, TX, 75708",TYLER,TX,Existing,UNKNOWN,0,,,,0
"UT MD ANDERSON CANCER CENTER, 1515 HOLCOMBE BOULEVARD, HOUSTON, TX, 77030",HOUSTON,TX,Existing,UNKNOWN,0,,,,0
"UTMB LEAGUE CITY CAMPUS, 2240 GULF FREEWAY SOUTH, LEAGUE CITY, TX, 77573",LEAGUE CITY,TX,Existing,UNKNOWN,0,,,,0
"VALLEY BAPT MICRO HOSP WESLACO, 1021 WEST INTERSTATE 2, WESLACO, TX, 78596",WESLACO,TX,Existing,UNKNOWN,0,,,,0
"VALLEY COUNTY HEALTH SYSTEM HOSP, 2707 L STREET, ORD, NE, 68862",ORD,NE,Existing,UNKNOWN,0,,,,0
"VALLEY HEALTH CENTER SUNNYVALE, 660 S FAIR OAKS AVE, SUNNYVALE, CA, 94086",SUNNYVALE,CA,Existing,UNKNOWN,0,,,,0
"VALLEY HOSPITAL MEDICAL CENTER, 620 SHADOW LANE, LAS VEGAS, NV, 89106",LAS VEGAS,NV,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"VALLEY REGIONAL HOSPITAL, 243 ELM STREET, CLAREMONT, NH, 03743",CLAREMONT,NH,Existing,UNKNOWN,0,,,,0
"VAN BUREN CO MEM HOSP, 304 FRANKLIN, KEOSAUQUA, IA, 52565",KEOSAUQUA,IA,Existing,UNKNOWN,0,,,,0
"VAN DIEST MEDICAL CENTER, 2350 HOSPITAL DRIVE, WEBSTER CITY, IA, 50595",WEBSTER CITY,IA,Existing,UNKNOWN,0,,,,0
"VANDERBILT BEDFORD HOSPITAL, 2835 HIGHWAY 231 NORTH, SHELBYVILLE, TN, 37160",SHELBYVILLE,TN,Existing,UNKNOWN,0,,,,0
"VIRGINIA GAY HOSPITAL, 502 NORTH 9TH AVENUE, VINTON, IA, 52349",VINTON,IA,Existing,UNKNOWN,0,,,,0
"VIRTUA WILLINGBORO HOSPITAL, 218 SUNSET ROAD, WILLINGBORO, NJ, 08046",WILLINGBORO,NJ,Existing,UNKNOWN,0,,,,0
"W J MANGOLD MEM HOSP, 320 N MAIN ST, LOCKNEY, TX, 79241",LOCKNEY,TX,Existing,UNKNOWN,0,,,,0
"WABASH GENERAL HOSPITAL, 1418 COLLEGE DRIVE, MOUNT CARMEL, IL, 62863",MOUNT CARMEL,IL,Existing,UNKNOWN,0,,,,0
"WAGONER COMMUNITY HOSPITAL, 1200 WEST CHEROKEE STREET, WAGONER, OK, 74467",WAGONER,OK,Existing,UNKNOWN,0,,,,0
"WALLACE THOMSON HOSPITAL, 322 WEST SOUTH STREET, UNION, SC, 29379",UNION,SC,Existing,UNKNOWN,0,,,,0
"WARD MEM HOSP, 406 S GARY, MONAHANS, TX, 79756",MONAHANS,TX,Existing,UNKNOWN,0,0.0%,,,0
"WARREN MEMORIAL HOSPITAL, 1000 NORTH SHENANDOAH AVENUE, FRONT ROYAL, VA, 22630",FRONT ROYAL,VA,Existing,UNKNOWN,0,,,,0
"WASHINGTON COUNTY HOSPITAL, 304 EAST 3RD STREET, WASHINGTON, KS, 66968",WASHINGTON,KS,Existing,UNKNOWN,0,,,,0
"WASHINGTON COUNTY HOSPITAL, 400 EAST POLK STREET, WASHINGTON, IA, 52353",WASHINGTON,IA,Existing,UNKNOWN,0,25.0%,65.0%,10.0%,0
"WASHINGTON COUNTY HOSPITAL, 705 SOUTH GRAND STREET, NASHVILLE, IL, 62263",NASHVILLE,IL,Existing,UNKNOWN,0,0.0%,,,0
"WASHINGTON COUNTY MEMORIAL HOSP, 300 HEALTH WAY DRIVE, POTOSI, MO, 63664",POTOSI,MO,Existing,UNKNOWN,0,,,,0
"WASHINGTON COUNTY REGIONAL MED CTR, 610 SPARTA ROAD, SANDERSVILLE, GA, 31082",SANDERSVILLE,GA,Existing,UNKNOWN,0,,,,0
"WAYNESBORO HOSPITAL, 501 EAST MAIN STREET, WAYNESBORO, PA, 17268",WAYNESBORO,PA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"WEISMAN CHILDRENS REHAB HOSPITAL, 92 BRICK ROAD, MARLTON, NJ, 08053",MARLTON,NJ,Existing,UNKNOWN,0,,,,0
"WELCH COMMUNITY HOSPITAL, 454 MCDOWELL STREET, WELCH, WV, 24801",WELCH,WV,Existing,UNKNOWN,0,0.0%,,,0
"WESLEY CHAPEL HOSPITAL, 4501 BRUCE B DOWNS BLVD, WESLEY CHAPEL, FL, 33544",WESLEY CHAPEL,FL,Existing,UNKNOWN,0,,,,0
"WESLEY LONG HOSPITAL, 2400 WEST FRIENDLY AVE, GREENSBORO, NC, 27403",GREENSBORO,NC,Existing,UNKNOWN,0,,,,0
"WEST ANAHEIM MEDICAL CENTER, 3033 WEST ORANGE AVENUE, ANAHEIM, CA, 92804",ANAHEIM,CA,Existing,UNKNOWN,0,,,,0
"WEST CARROLL HOSPITAL, 706 ROSS STREET, OAK GROVE, LA, 71263",OAK GROVE,LA,Existing,UNKNOWN,0,,,,0
"WEST FELICIANA PARISH HOSPITAL, 5266 COMMERCE STREET, SAINT FRANCISVILLE, LA, 70775",SAINT FRANCISVILLE,LA,Existing,UNKNOWN,0,50.0%,40.0%,10.0%,0
"WEST TN HEALTHCARE NORTH, 367 HOSPITAL DRIVE, JACKSON, TN, 38305",JACKSON,TN,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"WESTERVILLE MEDICAL CAMPUS, 300 POLARIS PARKWAY, WESTERVILLE, OH, 43082",WESTERVILLE,OH,Existing,UNKNOWN,0,,,,0
"WESTFIELD MEMORIAL HOSPITAL, 189 EAST MAIN STREET, WESTFIELD, NY, 14787",WESTFIELD,NY,Existing,UNKNOWN,0,,,,0
"WHITE MTN REG MED CTR, 118 S MOUNTAIN AVE, SPRINGERVILLE, AZ, 85938",SPRINGERVILLE,AZ,Existing,UNKNOWN,0,0.0%,,,0
"WHITE ROCK MEDICAL CENTER, 9440 POPPY DRIVE, DALLAS, TX, 75218",DALLAS,TX,Lost,UNKNOWN,0,40.0%,22.0%,38.0%,0
"WICKENBURG COMMUNITY HOSPITAL, 520 ROSE LANE, WICKENBURG, AZ, 85390",WICKENBURG,AZ,Existing,UNKNOWN,0,,,,0
"WILBARGER GENERAL HOSP, 920 HILLCREST DR, VERNON, TX, 76384",VERNON,TX,Existing,UNKNOWN,0,,,,0
"WILFORD HALL MEDICAL CTR, 2200 BERGQUIST DRIVE, LACKLAND A F B, TX, 78236",LACKLAND A F B,TX,Existing,UNKNOWN,0,,,,0
"WILLAPA HARBOR HOSP, ALDER & CEDAR STS, SOUTH BEND, WA, 98586",SOUTH BEND,WA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"WILLIAMSON MEMORIAL HOSPITAL, 859 ALDERSON STREET, WILLIAMSON, WV, 25661",WILLIAMSON,WV,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"WILLS EYE HOSPITAL, 840 WALNUT STREET, PHILADELPHIA, PA, 19107",PHILADELPHIA,PA,Existing,UNKNOWN,0,,,,0
"WINKLER COUNTY MEMORIAL HOSPITAL, 821 JEFFEE DRIVE, KERMIT, TX, 79745",KERMIT,TX,Existing,UNKNOWN,0,,,,0
"WINSTON MEDICAL CENTER, 923 SOUTH CHURCH AVENUE, LOUISVILLE, MS, 39339",LOUISVILLE,MS,Existing,UNKNOWN,0,,,,0
"WYOMING MEDICAL CNTR EAST CAMPUS, 6550 EAST SECOND STREET, CASPER, WY, 82609",CASPER,WY,Existing,UNKNOWN,0,,,,0
"ANDERSON HOSPITAL, 6800 STATE ROUTE 162, MARYVILLE, IL, 62062",MARYVILLE,IL,Existing,SPOT Non-Contracted,1746,65.0%,25.0%,10.0%,296
"CHESTER COUNTY HOSPITAL, 701 EAST MARSHALL STREET, WEST CHESTER, PA, 19380",WEST CHESTER,PA,Existing,SPOT Non-Contracted,3178,55.0%,5.0%,40.0%,234
"HENRICO DOCTORS HOSPITAL, 1602 SKIPWITH ROAD, HENRICO, VA, 23229",HENRICO,VA,Existing,SPOT Non-Contracted,4732,65.0%,12.0%,23.0%,421
"HIGHLAND COMMUNITY HOSPITAL, 130 HIGHLAND PARKWAY, PICAYUNE, MS, 39466",PICAYUNE,MS,Existing,SPOT Non-Contracted,361,65.0%,30.0%,5.0%,20
"HOSPITAL OF THE UNIVERSITY OF PENN, 3400 SPRUCE STREET, PHILADELPHIA, PA, 19104",PHILADELPHIA,PA,Existing,SPOT Non-Contracted,5520,60.0%,10.0%,30.0%,690
"PENNSYLVANIA HOSPITAL, 800 SPRUCE STREET, PHILADELPHIA, PA, 19107",PHILADELPHIA,PA,Existing,SPOT Non-Contracted,4755,60.0%,20.0%,20.0%,655
"USAF MED CTR KEESLER, 301 FISHER STREET, BILOXI, MS, 39534",BILOXI,MS,Existing,SPOT Non-Contracted,409,62.0%,10.0%,28.0%,9
"ABINGTON MEMORIAL HOSPITAL, 1200 OLD YORK ROAD, ABINGTON, PA, 19001",ABINGTON,PA,Existing,MJN Exclusive,4500,60.0%,20.0%,20.0%,585
"ABRAZO ARROWHEAD CAMPUS, 18701 NORTH 67TH AVENUE, GLENDALE, AZ, 85308",GLENDALE,AZ,Won,MJN Exclusive,3400,50.0%,15.0%,35.0%,265
"ABRAZO WEST CAMPUS, 13677 WEST MCDOWELL ROAD, GOODYEAR, AZ, 85395",GOODYEAR,AZ,Won,MJN Exclusive,1517,30.0%,16.0%,54.0%,-10
"ACADIAN MEDICAL CENTER, 3501 HIGHWAY 190, EUNICE, LA, 70535",EUNICE,LA,Existing,MJN Exclusive,602,20.0%,50.0%,30.0%,3
"ADENA REGIONAL MEDICAL CENTER, 272 HOSPITAL ROAD, CHILLICOTHE, OH, 45601",CHILLICOTHE,OH,Won,MJN Exclusive,1271,35.0%,30.0%,35.0%,65
"ADVENTHEALTH DAYTONA BEACH, 301 MEMORIAL MEDICAL PARKWAY, DAYTONA BEACH, FL, 32117",DAYTONA BEACH,FL,Won,MJN Exclusive,1722,40.0%,15.0%,45.0%,10
"ADVENTHEALTH FISH MEMORIAL, 1055 SAXON BLVD, ORANGE CITY, FL, 32763",ORANGE CITY,FL,Won,MJN Exclusive,860,74.0%,10.0%,16.0%,5
"ADVENTHEALTH HENDERSONVILLE, 100 HOSPITAL DRIVE, HENDERSONVILLE, NC, 28792",HENDERSONVILLE,NC,Won,MJN Exclusive,705,55.0%,35.0%,10.0%,17
"ADVENTHEALTH WATERMAN, 1000 WATERMAN WAY, TAVARES, FL, 32778",TAVARES,FL,Won,MJN Exclusive,685,48.0%,25.0%,27.0%,-25
"ADVENTHEALTH WESLEY CHAPEL, 2600 BRUCE B DOWNS BLVD, WESLEY CHAPEL, FL, 33544",WESLEY CHAPEL,FL,Existing,MJN Exclusive,845,90.0%,10.0%,0.0%,5
"ADVENTIST HEALTH BAKERSFIELD, 2615 CHESTER AVENUE, BAKERSFIELD, CA, 93301",BAKERSFIELD,CA,Existing,MJN Exclusive,3495,85.0%,9.0%,6.0%,225
"ADVENTIST HEALTH GLENDALE, 1509 WILSON TERRACE, GLENDALE, CA, 91206",GLENDALE,CA,Won,MJN Exclusive,2600,60.0%,20.0%,20.0%,200
"ADVENTIST HEALTH HANFORD, 115 MALL DRIVE, HANFORD, CA, 93230",HANFORD,CA,Existing,MJN Exclusive,2323,70.0%,5.0%,25.0%,122
"ADVENTIST HEALTH LODI MEMORIAL, 975 SOUTH FAIRMONT AVENUE, LODI, CA, 95240",LODI,CA,Existing,MJN Exclusive,991,59.0%,7.0%,34.0%,71
"ADVENTIST HEALTH REEDLEY, 372 WEST CYPRESS AVENUE, REEDLEY, CA, 93654",REEDLEY,CA,Existing,MJN Exclusive,1260,54.0%,7.0%,39.0%,0
"ADVENTIST HEALTH SONORA, 1000 GREENLEY ROAD, SONORA, CA, 95370",SONORA,CA,Existing,MJN Exclusive,420,66.0%,20.0%,14.0%,0
"ADVENTIST HEALTH TULARE, 869 NORTH CHERRY STREET, TULARE, CA, 93274",TULARE,CA,Existing,MJN Exclusive,270,62.0%,12.0%,26.0%,20
"ADVENTIST HEALTH UKIAH VALLEY, 275 HOSPITAL DRIVE, UKIAH, CA, 95482",UKIAH,CA,Existing,MJN Exclusive,682,80.0%,3.0%,17.0%,30
"ADVENTIST HEALTHCARE SHADY GROVE, 9901 MEDICAL CENTER DRIVE, ROCKVILLE, MD, 20850",ROCKVILLE,MD,Won,MJN Exclusive,4655,75.0%,10.0%,15.0%,425
