Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
MISSION HOSPITAL MISSION VIEJO,MISSION VIEJO,CA,Abbott Exclusive,2025-02-28,894,2025-02
MINIDOKA MEM HOSP,RUPERT,ID,Choice,2025-02-28,27,2025-02
MINERS COLFAX MEDICAL CT,RATON,NM,Choice,2025-02-28,120,2025-02
MIDTOWN MEDICAL CENTER,COLUMBUS,GA,Abbott Exclusive,2025-02-28,3509,2025-02
MIDLAND MEMORIAL HOSPITAL,MIDLAND,TX,Abbott Exclusive,2025-02-28,3076,2025-02
MIAMI VALLEY HOSPITAL SOUTH,CENTERVILLE,OH,Abbott Exclusive,2025-02-28,0,2025-02
MIAMI VALLEY HOSPITAL,DAYTON,OH,Abbott Exclusive,2025-02-28,4085,2025-02
METHODIST MEDICAL CTR OF OAK RIDGE,OAK RIDGE,TN,Choice,2025-02-28,473,2025-02
METHODIST JENNIE EDMUNDSON HOSP,COUNCIL BLUFFS,IA,MJN Exclusive,2025-02-28,674,2025-02
MCDONOUGH DISTRICT HOSP,MACOMB,IL,MJN Exclusive,2025-02-28,250,2025-02
LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,FL,MJN Exclusive,2025-02-28,3315,2025-02
MCCULLOUGH HYDE MEMORIAL HOSP,OXFORD,OH,Abbott Exclusive,2025-02-28,316,2025-02
MAYO CLINIC HOSPITAL METHODIST,ROCHESTER,MN,MJN Exclusive,2025-02-28,2773,2025-02
LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,CA,Other,2025-02-28,0,2025-02
LONESOME PINE HOSPITAL,BIG STONE GAP,VA,MJN Exclusive,2025-02-28,270,2025-02
LOMPOC VALLEY MEDICAL CTR,LOMPOC,CA,MJN Exclusive,2025-02-28,368,2025-02
LOMA LINDA UNIV SURGICAL HOSP,REDLANDS,CA,Other,2025-02-28,0,2025-02
LOMA LINDA UNIV MED CENTER EAST,LOMA LINDA,CA,Other,2025-02-28,0,2025-02
LINCOLN COMMUNITY HOSPITAL,HUGO,CO,Choice,2025-02-28,8,2025-02
LOUISIANA ST UNIV HOSP,SHREVEPORT,LA,Other,2025-02-28,0,2025-02
LIFECARE MEDICAL CENTER,ROSEAU,MN,Abbott Exclusive,2025-02-28,180,2025-02
LEXINGTON REGIONAL HEALTH CENTER,LEXINGTON,NE,Abbott Exclusive,2025-02-28,148,2025-02
LECONTE MEDICAL CENTER,SEVIERVILLE,TN,Choice,2025-02-28,842,2025-02
LAWRENCE GENERAL HOSPITAL,LAWRENCE,MA,Abbott Exclusive,2025-02-28,1418,2025-02
LAWRENCE AND MEMORIAL HOSPITAL,NEW LONDON,CT,Abbott Exclusive,2025-02-28,1283,2025-02
LANKENAU HOSPITAL,WYNNEWOOD,PA,Abbott Exclusive,2025-02-28,3050,2025-02
LANGLADE MEMORIAL HOSP,ANTIGO,WI,Abbott Exclusive,2025-02-28,224,2025-02
LIBERTY HOSP,LIBERTY,MO,Abbott Exclusive,2025-02-28,770,2025-02
LURIE CHILDRENS HOSPITAL OF CHICAGO,CHICAGO,IL,MJN Exclusive,2025-02-28,413,2025-02
MADISON HOSPITAL,MADISON,AL,MJN Exclusive,2025-02-28,3195,2025-02
MARIAS MEDICAL CENTER,SHELBY,MT,Abbott Exclusive,2025-02-28,39,2025-02
MAYO CLINIC HLTH SYS ALBERT LEA,ALBERT LEA,MN,Other,2025-02-28,0,2025-02
MAURY REGIONAL MEDICAL CENTER,COLUMBIA,TN,Abbott Exclusive,2025-02-28,1650,2025-02
MAUI MEMORIAL HOSPITAL,WAILUKU,HI,Abbott Exclusive,2025-02-28,1785,2025-02
MARY RUTAN HOSPITAL,BELLEFONTAINE,OH,MJN Exclusive,2025-02-28,377,2025-02
MARY IMOGENE BASSETT HOSPITAL,COOPERSTOWN,NY,MJN Exclusive,2025-02-28,1412,2025-02
MARY BRIDGE CHILDRENS HEALTH CTR,TACOMA,WA,Other,2025-02-28,0,2025-02
MARY BLACK HEALTH GAFFNEY,GAFFNEY,SC,Other,2025-02-28,0,2025-02
MARTIN L KING JR COMM HOSPITAL,LOS ANGELES,CA,Abbott Exclusive,2025-02-28,670,2025-02
MARSHFIELD MEDICAL CENTER WESTON,WESTON,WI,Abbott Exclusive,2025-02-28,367,2025-02
MARSHFIELD MEDICAL CENTER  BD,BEAVER DAM,WI,Abbott Exclusive,2025-02-28,211,2025-02
MARSHFIELD MEDICAL CENTER,MARSHFIELD,WI,Abbott Exclusive,2025-02-28,1199,2025-02
MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,MJN Exclusive,2025-02-28,627,2025-02
MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,MJN Exclusive,2025-02-28,2680,2025-02
MARION HEALTH EAST,GAS CITY,IN,MJN Exclusive,2025-02-28,50,2025-02
MARION COUNTY MEDICAL CENTER,MULLINS,SC,Abbott Exclusive,2025-02-28,0,2025-02
MC ALESTER REG HOSP,MCALESTER,OK,Abbott Exclusive,2025-02-28,470,2025-02
PIEDMONT WALTON,MONROE,GA,Abbott Exclusive,2025-02-28,376,2025-02
PROMEDICA COLDWATER REG HOSPITAL,COLDWATER,MI,MJN Exclusive,2025-02-28,0,2025-02
POUDRE VALLEY HEALTH CARE INC,FORT COLLINS,CO,Abbott Exclusive,2025-02-28,2054,2025-02
THEDACARE MEDICAL CTR WAUPACA,WAUPACA,WI,MJN Exclusive,2025-02-28,113,2025-02
THEDACARE MEDICAL CTR NEW LONDON,NEW LONDON,WI,Other,2025-02-28,0,2025-02
THEDACARE MEDICAL CTR BERLIN,BERLIN,WI,MJN Exclusive,2025-02-28,94,2025-02
THEDACARE MEDICAL CENTER SHAWANO,SHAWANO,WI,MJN Exclusive,2025-02-28,193,2025-02
THE REGIONAL MEDICAL CENTER,ORANGEBURG,SC,Abbott Exclusive,2025-02-28,505,2025-02
THE CHRIST HOSPITAL,CINCINNATI,OH,Abbott Exclusive,2025-02-28,3875,2025-02
THEDACARE REG MED CTR APPLETON,APPLETON,WI,MJN Exclusive,2025-02-28,827,2025-02
TEXAS SCOTTISH RITE HOSP,DALLAS,TX,Choice,2025-02-28,0,2025-02
TEMPLE UNIVERSITY HOSPITAL,PHILADELPHIA,PA,Abbott Exclusive,2025-02-28,2555,2025-02
TAMPA COMMUNITY HOSPITAL,TAMPA,FL,Other,2025-02-28,0,2025-02
TAKOMA REGIONAL HOSPITAL,GREENEVILLE,TN,Abbott Exclusive,2025-02-28,0,2025-02
SWEDISHAMERICAN HOSP,ROCKFORD,IL,Abbott Exclusive,2025-02-28,2695,2025-02
SWEDISH MEDICAL CENTER ISSAQUAH,ISSAQUAH,WA,Abbott Exclusive,2025-02-28,1732,2025-02
SWEDISH MEDICAL CENTER FIRST HILL,SEATTLE,WA,Abbott Exclusive,2025-02-28,7130,2025-02
TETON VALLEY HOSPITAL,DRIGGS,ID,MJN Exclusive,2025-02-28,195,2025-02
SWEDISH MEDICAL CENTER EDMONDS,EDMONDS,WA,Abbott Exclusive,2025-02-28,1540,2025-02
THEDACARE REG MED CTR NEENAH,NEENAH,WI,MJN Exclusive,2025-02-28,1828,2025-02
THREE RIVERS COMM HOSP,GRANTS PASS,OR,Abbott Exclusive,2025-02-28,750,2025-02
UCHEALTH YAMPA VALLEY MED CENTER,STEAMBOAT SPRINGS,CO,Choice,2025-02-28,337,2025-02
UCHEALTH PIKES PEAK REGIONAL HOS,WOODLAND PARK,CO,Other,2025-02-28,0,2025-02
UCHEALTH LONGS PEAK HOSPITAL,LONGMONT,CO,Abbott Exclusive,2025-02-28,998,2025-02
UCHEALTH HIGHLANDS RANCH HOSP,HIGHLANDS RANCH,CO,Abbott Exclusive,2025-02-28,1050,2025-02
UCHEALTH GREELEY HOSPITAL,GREELEY,CO,Abbott Exclusive,2025-02-28,761,2025-02
UAB MEDICAL WEST,BESSEMER,AL,MJN Exclusive,2025-02-28,491,2025-02
THOMAS HOSPITAL,FAIRHOPE,AL,MJN Exclusive,2025-02-28,1319,2025-02
U OF MO COLUMBIA HOSP/CL,COLUMBIA,MO,Other,2025-02-28,0,2025-02
TUCSON MEDICAL CENTER,TUCSON,AZ,Abbott Exclusive,2025-02-28,6152,2025-02
TRUMAN MED CTR-LAKEWOOD,KANSAS CITY,MO,Abbott Exclusive,2025-02-28,2768,2025-02
TRUMAN MED CTR-HOSP HILL,KANSAS CITY,MO,Abbott Exclusive,2025-02-28,2650,2025-02
TRISTAR NORTHCREST MEDICAL CTR,SPRINGFIELD,TN,Abbott Exclusive,2025-02-28,512,2025-02
TRI CITY MEDICAL CENTER,OCEANSIDE,CA,MJN Exclusive,2025-02-28,2162,2025-02
TILLAMOOK REGIONAL MEDICAL CTR,TILLAMOOK,OR,Choice,2025-02-28,160,2025-02
TWIN LAKES REGIONAL MEDICAL CENTER,LEITCHFIELD,KY,MJN Exclusive,2025-02-28,366,2025-02
UF HEALTH JACKSONVILLE,JACKSONVILLE,FL,Abbott Exclusive,2025-02-28,3207,2025-02
SWEDISH MEDICAL CENTER BALLARD,SEATTLE,WA,Abbott Exclusive,2025-02-28,0,2025-02
SUTTER SOLANO MED CTR,VALLEJO,CA,Abbott Exclusive,2025-02-28,0,2025-02
ST JAMES COMM HOSP,BUTTE,MT,Choice,2025-02-28,405,2025-02
ST FRANCIS REG MED CTR,SHAKOPEE,MN,Abbott Exclusive,2025-02-28,877,2025-02
ST ELIZABETH EDGEWOOD,EDGEWOOD,KY,Abbott Exclusive,2025-02-28,4107,2025-02
ST CLOUD HOSPITAL,SAINT CLOUD,MN,Abbott Exclusive,2025-02-28,3062,2025-02
ST CLAIR HOSPITAL,PITTSBURGH,PA,Abbott Exclusive,2025-02-28,1386,2025-02
ST CHARLES HOSPITAL,PORT JEFFERSON,NY,Abbott Exclusive,2025-02-28,1363,2025-02
ST JOHNS MEDICAL CTR,JACKSON,WY,Abbott Exclusive,2025-02-28,509,2025-02
ST CATHERINE OF SIENA MEDICAL CTR,SMITHTOWN,NY,Abbott Exclusive,2025-02-28,0,2025-02
ST BERNARDS HOSP,CHICAGO,IL,MJN Exclusive,2025-02-28,0,2025-02
ST AGNES HOSPITAL,FOND DU LAC,WI,Abbott Exclusive,2025-02-28,683,2025-02
SSM ST JOSEPH HOSP WEST,LAKE SAINT LOUIS,MO,Abbott Exclusive,2025-02-28,1231,2025-02
SSM HEALTH ST MARYS HOSPITAL,JEFFERSON CITY,MO,Abbott Exclusive,2025-02-28,754,2025-02
SSM HEALTH ST CLARE HOSP BARABOO,BARABOO,WI,Abbott Exclusive,2025-02-28,148,2025-02
SSM HEALTH GOOD SAMARITAN HOSPITAL,MOUNT VERNON,IL,Abbott Exclusive,2025-02-28,1110,2025-02
ST BERNARDS HOSPITAL,JONESBORO,AR,MJN Exclusive,2025-02-28,1691,2025-02
SWEDISH COVENANT HOSP,CHICAGO,IL,Abbott Exclusive,2025-02-28,1850,2025-02
ST JOSEPH HOSP,KANSAS CITY,MO,Choice,2025-02-28,0,2025-02
ST JOSEPH HOSPITAL ORANGE,ORANGE,CA,Abbott Exclusive,2025-02-28,4664,2025-02
SUTTER SANTA ROSA REGIONAL HOSPITAL,SANTA ROSA,CA,Abbott Exclusive,2025-02-28,2500,2025-02
SUTTER ROSEVILLE MED CTR,ROSEVILLE,CA,Abbott Exclusive,2025-02-28,1900,2025-02
SUMMIT HEALTHCARE REG MEDICAL CTR,SHOW LOW,AZ,Choice,2025-02-28,924,2025-02
STRONG MEMORIAL HOSPITAL,ROCHESTER,NY,MJN Exclusive,2025-02-28,3001,2025-02
STORMONT-VAIL HOSPITAL,TOPEKA,KS,Abbott Exclusive,2025-02-28,1853,2025-02
STILLWATER MED CTR,STILLWATER,OK,Abbott Exclusive,2025-02-28,1206,2025-02
ST JOSEPH HOSPITAL EUREKA,EUREKA,CA,Abbott Exclusive,2025-02-28,451,2025-02
ST ROSE HOSP,HAYWARD,CA,MJN Exclusive,2025-02-28,300,2025-02
ST MICHAELS HOSPITAL,STEVENS POINT,WI,Abbott Exclusive,2025-02-28,457,2025-02
ST MARYS MEDICAL CENTER,BLUE SPRINGS,MO,Other,2025-02-28,0,2025-02
ST MARYS HOSPITAL,RHINELANDER,WI,Abbott Exclusive,2025-02-28,178,2025-02
ST MARY MEDICAL CENTER,APPLE VALLEY,CA,Abbott Exclusive,2025-02-28,1415,2025-02
ST LUKES HOSPITAL,DULUTH,MN,Abbott Exclusive,2025-02-28,697,2025-02
ST JUDE MEDICAL CENTER,FULLERTON,CA,Abbott Exclusive,2025-02-28,2464,2025-02
ST PETERS HOSPITAL,HELENA,MT,Choice,2025-02-28,748,2025-02
SSM CARDINAL GLENNON,SAINT LOUIS,MO,Abbott Exclusive,2025-02-28,5557,2025-02
UF HEALTH NORTH,JACKSONVILLE,FL,Abbott Exclusive,2025-02-28,793,2025-02
UK CHANDLER HOSPITAL,LEXINGTON,KY,Abbott Exclusive,2025-02-28,2493,2025-02
WEISER MEMORIAL HOSPITAL,WEISER,ID,Choice,2025-02-28,53,2025-02
WAYNE MEMORIAL HOSPITAL,JESUP,GA,MJN Exclusive,2025-02-28,601,2025-02
WASHINGTON REG MED CENTER,FAYETTEVILLE,AR,MJN Exclusive,2025-02-28,2458,2025-02
WAR MEMORIAL HOSPITAL,SAULT SAINTE MARIE,MI,Abbott Exclusive,2025-02-28,302,2025-02
WALLACE THOMSON HOSPITAL,UNION,SC,Other,2025-02-28,0,2025-02
W CALCASIEU-CAMERON HOSP,SULPHUR,LA,Abbott Exclusive,2025-02-28,269,2025-02
WEST CHESTER HOSPITAL,WEST CHESTER,OH,Abbott Exclusive,2025-02-28,1000,2025-02
VIRGINIA HOSPITAL CENTER,ARLINGTON,VA,Abbott Exclusive,2025-02-28,5491,2025-02
VASSAR BROTHERS MEDICAL CENTER,POUGHKEEPSIE,NY,Abbott Exclusive,2025-02-28,2908,2025-02
VANDERBILT WILSON CO HOSPITAL,LEBANON,TN,Abbott Exclusive,2025-02-28,756,2025-02
VANDERBILT UNIVERSITY MEDICAL CTR,NASHVILLE,TN,Abbott Exclusive,2025-02-28,4845,2025-02
VAN WERT COUNTY HOSPITAL,VAN WERT,OH,MJN Exclusive,2025-02-28,0,2025-02
VALOR HEALTH,EMMETT,ID,Abbott Exclusive,2025-02-28,0,2025-02
VALLEYWISE HEALTH MEDICAL CENTER,PHOENIX,AZ,Abbott Exclusive,2025-02-28,2722,2025-02
VICTOR VALLEY GLOBAL MEDICAL CTR,VICTORVILLE,CA,MJN Exclusive,2025-02-28,1169,2025-02
VALLEY PRESBYTERIAN HOSP,VAN NUYS,CA,Abbott Exclusive,2025-02-28,2810,2025-02
WEST GEORGIA MEDICAL CENTER,LA GRANGE,GA,MJN Exclusive,2025-02-28,930,2025-02
WESTCHESTER MEDICAL CENTER,VALHALLA,NY,MJN Exclusive,2025-02-28,1400,2025-02
YORK HOSPITAL,YORK,ME,Choice,2025-02-28,299,2025-02
YOAKUM COUNTY HOSPITAL,DENVER CITY,TX,MJN Exclusive,2025-02-28,525,2025-02
YAVAPAI REGIONAL MED CTR,PRESCOTT,AZ,Abbott Exclusive,2025-02-28,1360,2025-02
WRIGHT MEMORIAL HOSPITAL,TRENTON,MO,Choice,2025-02-28,0,2025-02
WRANGELL MEDICAL CENTER,WRANGELL,AK,Choice,2025-02-28,30,2025-02
WINNER REG HLTHCARE CTR,WINNER,SD,Choice,2025-02-28,249,2025-02
WEST RIVER REG MED CTR,HETTINGER,ND,MJN Exclusive,2025-02-28,65,2025-02
WINDOM AREA HEALTH,WINDOM,MN,Abbott Exclusive,2025-02-28,112,2025-02
WILSON HEALTH,SIDNEY,OH,MJN Exclusive,2025-02-28,701,2025-02
WILLIS KNIGHTON SOUTH,SHREVEPORT,LA,MJN Exclusive,2025-02-28,2192,2025-02
WILLIS KNIGHTON PIERREMONT,SHREVEPORT,LA,MJN Exclusive,2025-02-28,619,2025-02
WILLIS KNIGHTON BOSSIER,BOSSIER CITY,LA,MJN Exclusive,2025-02-28,695,2025-02
WILLIAM B RIRIE HOSP,ELY,NV,Abbott Exclusive,2025-02-28,108,2025-02
WHITTIER HOSPITAL MEDICAL CENTER,WHITTIER,CA,Abbott Exclusive,2025-02-28,2197,2025-02
WILSON REGIONAL MEDICAL CENTER,JOHNSON CITY,NY,MJN Exclusive,2025-02-28,1714,2025-02
UF HEALTH SHANDS HOSPITAL,GAINESVILLE,FL,Abbott Exclusive,2025-02-28,3439,2025-02
VALLEY MEDICAL CENTER,RENTON,WA,Abbott Exclusive,2025-02-28,4471,2025-02
VALLEY CHILDRENS HOSPITAL,MADERA,CA,Abbott Exclusive,2025-02-28,3150,2025-02
UNITYPOINT HEALTH MARSHALLTOWN,MARSHALLTOWN,IA,Abbott Exclusive,2025-02-28,0,2025-02
UNITY MEDICAL CENTER,FRIDLEY,MN,Abbott Exclusive,2025-02-28,0,2025-02
UNITY HEALTH HARRIS MEDICAL CENTER,NEWPORT,AR,Choice,2025-02-28,168,2025-02
UNITY HEALTH,SEARCY,AR,Choice,2025-02-28,872,2025-02
UNITED MEDICAL CENTER,WASHINGTON,DC,Other,2025-02-28,0,2025-02
UNITED HOSPITALS,SAINT PAUL,MN,Abbott Exclusive,2025-02-28,3078,2025-02
UNIV OF CINCINNATI MEDICAL CENTER,CINCINNATI,OH,Abbott Exclusive,2025-02-28,2420,2025-02
UNIONTOWN HOSPITAL,UNIONTOWN,PA,Other,2025-02-28,0,2025-02
UNC HOSPITALS,CHAPEL HILL,NC,Abbott Exclusive,2025-02-28,4507,2025-02
UMASS MEMORIAL MEDICAL CENTER,WORCESTER,MA,Abbott Exclusive,2025-02-28,3926,2025-02
UM SHORE MED CENTER AT EASTON,EASTON,MD,Abbott Exclusive,2025-02-28,1025,2025-02
UM HARFORD MEMORIAL HOSPITAL,HAVRE DE GRACE,MD,Other,2025-02-28,0,2025-02
UM CHARLES REGIONAL MEDICAL CENTER,LA PLATA,MD,Choice,2025-02-28,522,2025-02
UM CAPITAL REGION MEDICAL CENTER,UPPER MARLBORO,MD,Abbott Exclusive,2025-02-28,1300,2025-02
UNC ROCKINGHAM HEALTH CARE,EDEN,NC,Abbott Exclusive,2025-02-28,346,2025-02
VALLEY HOSPITAL,PARAMUS,NJ,MJN Exclusive,2025-02-28,5200,2025-02
UNIV OF IOWA HOSPS & CLINICS,IOWA CITY,IA,MJN Exclusive,2025-02-28,3610,2025-02
UNIV OF MISSISSIPPI MED CTR GRENADA,GRENADA,MS,Abbott Exclusive,2025-02-28,471,2025-02
VAIL HEALTH HOSPITAL,VAIL,CO,MJN Exclusive,2025-02-28,525,2025-02
UW MEDICAL CENTER NORTHWEST,SEATTLE,WA,Abbott Exclusive,2025-02-28,1160,2025-02
UW MEDICAL CENTER MONTLAKE,SEATTLE,WA,Abbott Exclusive,2025-02-28,1890,2025-02
UTMB HEALTH CLEAR LAKE HOSPITAL,WEBSTER,TX,MJN Exclusive,2025-02-28,965,2025-02
USC VERDUGO HILLS HOSPITAL,GLENDALE,CA,Abbott Exclusive,2025-02-28,382,2025-02
USC ARCADIA HOSPITAL,ARCADIA,CA,Abbott Exclusive,2025-02-28,1281,2025-02
UNIV OF MARYLAND MEDICAL CENTER,BALTIMORE,MD,Abbott Exclusive,2025-02-28,1735,2025-02
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,Abbott Exclusive,2025-02-28,326,2025-02
UNIVERSITY OF MICHIGAN HLTH WEST,WYOMING,MI,Other,2025-02-28,1672,2025-02
UNIVERSITY OF IOWA DOWNTOWN,IOWA CITY,IA,MJN Exclusive,2025-02-28,1119,2025-02
UNIVERSITY OF ILLINOIS HOSPITAL,CHICAGO,IL,Abbott Exclusive,2025-02-28,1955,2025-02
UNIVERSITY HOSPITALS & CLINICS,LEXINGTON,MS,Other,2025-02-28,0,2025-02
UNIV WISC HOSP & CLINICS,MADISON,WI,Abbott Exclusive,2025-02-28,427,2025-02
UNIV OF MISSISSIPPI MEDICAL CENTER,JACKSON,MS,Abbott Exclusive,2025-02-28,3600,2025-02
UNIVERSITY OF VERMONT MEDICAL CTR,BURLINGTON,VT,Abbott Exclusive,2025-02-28,2560,2025-02
SPRINGHILL MEDICAL CENTER,MOBILE,AL,MJN Exclusive,2025-02-28,1506,2025-02
SPRINGFIELD MEMORIAL HOSPITAL,SPRINGFIELD,IL,MJN Exclusive,2025-02-28,1151,2025-02
SPRINGFIELD HOSPITAL,SPRINGFIELD,VT,Choice,2025-02-28,0,2025-02
RICE MEMORIAL HOSPITAL,WILLMAR,MN,Abbott Exclusive,2025-02-28,594,2025-02
RHODE ISLAND HOSPITAL,PROVIDENCE,RI,Choice,2025-02-28,190,2025-02
REX HOSPITAL,RALEIGH,NC,Abbott Exclusive,2025-02-28,5831,2025-02
REGIONAL WEST MED CTR,SCOTTSBLUFF,NE,Abbott Exclusive,2025-02-28,889,2025-02
REGIONAL ONE HEALTH,MEMPHIS,TN,MJN Exclusive,2025-02-28,5500,2025-02
REGINA MEDICAL COMPLEX,HASTINGS,MN,Abbott Exclusive,2025-02-28,25,2025-02
RICHLAND HOSPITAL,RICHLAND CENTER,WI,Abbott Exclusive,2025-02-28,125,2025-02
REDWOOD MEMORIAL HOSPITAL,FORTUNA,CA,Other,2025-02-28,0,2025-02
QUEEN OF THE VALLEY MEDICAL CTR,NAPA,CA,Abbott Exclusive,2025-02-28,1002,2025-02
PUTNAM HOSPITAL CENTER,CARMEL,NY,Other,2025-02-28,0,2025-02
PROVIDENCE WILLAMETTE FALLS MED CTR,OREGON CITY,OR,Abbott Exclusive,2025-02-28,757,2025-02
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,Other,2025-02-28,0,2025-02
PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,Abbott Exclusive,2025-02-28,2500,2025-02
PROVIDENCE ST VINCENT MEDICAL CTR,PORTLAND,OR,Abbott Exclusive,2025-02-28,3344,2025-02
QUEENS HOSP MED CTR,HONOLULU,HI,Choice,2025-02-28,1876,2025-02
PROVIDENCE ST PETER HOSPITAL,OLYMPIA,WA,Abbott Exclusive,2025-02-28,1980,2025-02
RIDDLE MEMORIAL HOSPITAL,MEDIA,PA,Abbott Exclusive,2025-02-28,1000,2025-02
RIVER FALLS AREA HOSP,RIVER FALLS,WI,Abbott Exclusive,2025-02-28,0,2025-02
SAINT ANTHONY HOSPITAL,CHICAGO,IL,MJN Exclusive,2025-02-28,1250,2025-02
SACRED HEART HOSPITAL,ALLENTOWN,PA,Other,2025-02-28,0,2025-02
RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,VT,Choice,2025-02-28,386,2025-02
RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,MJN Exclusive,2025-02-28,600,2025-02
RUSH UNIVERSITY MED CTR,CHICAGO,IL,Abbott Exclusive,2025-02-28,2465,2025-02
RUSH COPLEY MEMORIAL HOSPITAL,AURORA,IL,Abbott Exclusive,2025-02-28,2605,2025-02
RIDGEVIEW MED CTR,WACONIA,MN,Abbott Exclusive,2025-02-28,2042,2025-02
ROOKS COUNTY HEALTH CENTER,PLAINVILLE,KS,Choice,2025-02-28,0,2025-02
ROBERT WOOD JOHNSON UNIV HOSPITAL,SOMERVILLE,NJ,Abbott Exclusive,2025-02-28,821,2025-02
ROBERT WOOD JOHNSON UNIV HOSP,NEW BRUNSWICK,NJ,Abbott Exclusive,2025-02-28,2690,2025-02
ROBERT PACKER HOSPITAL,SAYRE,PA,MJN Exclusive,2025-02-28,650,2025-02
RIVERWOOD HLTH CARE CTR,AITKIN,MN,MJN Exclusive,2025-02-28,101,2025-02
RIVERVIEW HLTHCARE ASSOC,CROOKSTON,MN,Abbott Exclusive,2025-02-28,50,2025-02
RIVERSIDE UNIVERSITY MEDICAL CENTER,MORENO VALLEY,CA,MJN Exclusive,2025-02-28,2757,2025-02
ROGUE VALLEY MEDICAL CTR,MEDFORD,OR,Abbott Exclusive,2025-02-28,2075,2025-02
SAINT BARNABAS MEDICAL CENTER,LIVINGSTON,NJ,Abbott Exclusive,2025-02-28,6710,2025-02
PROVIDENCE ST MARY MEDICAL CENTER,WALLA WALLA,WA,Abbott Exclusive,2025-02-28,508,2025-02
PROVIDENCE ST JOSEPH MEDICAL CENTER,POLSON,MT,Abbott Exclusive,2025-02-28,113,2025-02
PROMEDICA MONROE REG HOSPITAL,MONROE,MI,MJN Exclusive,2025-02-28,449,2025-02
PROMEDICA MEMORIAL HOSPITAL,FREMONT,OH,MJN Exclusive,2025-02-28,177,2025-02
PROMEDICA HICKMAN HOSPITAL,ADRIAN,MI,MJN Exclusive,2025-02-28,440,2025-02
PROMEDICA FOSTORIA COMM HOSPITAL,FOSTORIA,OH,MJN Exclusive,2025-02-28,0,2025-02
PROMEDICA FLOWER HOSPITAL,SYLVANIA,OH,MJN Exclusive,2025-02-28,570,2025-02
PROMEDICA DEFIANCE REG HOSPITAL,DEFIANCE,OH,MJN Exclusive,2025-02-28,345,2025-02
PROMEDICA TOLEDO HOSPITAL,TOLEDO,OH,MJN Exclusive,2025-02-28,3924,2025-02
INOVA MOUNT VERNON HOSPITAL,ALEXANDRIA,VA,Other,2025-02-28,0,2025-02
PROHEALTH WAUKESHA MEM HOSPITAL,WAUKESHA,WI,Abbott Exclusive,2025-02-28,1808,2025-02
PROHEALTH OCONOMOWOC MEM HOSP,OCONOMOWOC,WI,Abbott Exclusive,2025-02-28,382,2025-02
PROGRESS WEST HEALTHCARE CTR,O FALLON,MO,MJN Exclusive,2025-02-28,991,2025-02
PRESBYTERIAN INTER-COMM,WHITTIER,CA,Abbott Exclusive,2025-02-28,3225,2025-02
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,Other,2025-02-28,0,2025-02
PRAIRIE LAKE HEALTHCARE SYSTEM,WATERTOWN,SD,Abbott Exclusive,2025-02-28,567,2025-02
PROMEDICA BAY PARK HOSPITAL,OREGON,OH,MJN Exclusive,2025-02-28,463,2025-02
PROVIDENCE ST JOSEPHS HOSPITAL,CHEWELAH,WA,Other,2025-02-28,0,2025-02
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,Abbott Exclusive,2025-02-28,2635,2025-02
PROVIDENCE HOLY CROSS MED CENTER,MISSION HILLS,CA,Abbott Exclusive,2025-02-28,3035,2025-02
PROVIDENCE SEASIDE HOSPITAL,SEASIDE,OR,Choice,2025-02-28,140,2025-02
PROVIDENCE SAINT JOSEPH MEDICAL CTR,BURBANK,CA,Abbott Exclusive,2025-02-28,2080,2025-02
PROVIDENCE SAINT JOHNS HEALTH CTR,SANTA MONICA,CA,Abbott Exclusive,2025-02-28,2022,2025-02
PROVIDENCE SACRED HEART MED CTR,SPOKANE,WA,Choice,2025-02-28,3265,2025-02
PROVIDENCE REG MED CTR EVERETT,EVERETT,WA,Abbott Exclusive,2025-02-28,5048,2025-02
PROVIDENCE PORTLAND MEDICAL CENTER,PORTLAND,OR,Abbott Exclusive,2025-02-28,2444,2025-02
PROVIDENCE CENTRALIA HOSPITAL,CENTRALIA,WA,Abbott Exclusive,2025-02-28,600,2025-02
PROVIDENCE NEWBERG MEDICAL CTR,NEWBERG,OR,Abbott Exclusive,2025-02-28,638,2025-02
PROVIDENCE MEDFORD MEDICAL CENTER,MEDFORD,OR,Abbott Exclusive,2025-02-28,425,2025-02
PROVIDENCE LITTLE COMPANY OF MARY,TORRANCE,CA,Abbott Exclusive,2025-02-28,2875,2025-02
PROVIDENCE LITTLE COMPANY OF MARY,SAN PEDRO,CA,Abbott Exclusive,2025-02-28,450,2025-02
PROVIDENCE KODIAK ISLAND MED CENTER,KODIAK ISLAND,AK,Choice,2025-02-28,143,2025-02
